epoch,train_loss,val_loss,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,751.0295089930296,92.33782958239317,0.8071666666666667,0.7902693688141247,0.9348333333333333,0.9322474441171374
2,571.099141119048,128.8208941919729,0.8845,0.8866721177432543,0.9083333333333333,0.9118307149727477
3,366.9032805915922,100.02419336140156,0.9403666666666667,0.9380261197907646,0.921,0.9216010585511082
4,251.71203047130257,138.85833495110273,0.9595666666666667,0.9580465534534638,0.9193333333333333,0.9224358974358975
5,206.1819738196209,65.81992225721478,0.9661,0.9648401037165082,0.963,0.9621676891615542
6,199.10262435022742,73.83933055400848,0.9681666666666666,0.9671426113882676,0.9541666666666667,0.9545379401553976
7,205.39787729503587,56.84741039550863,0.9658333333333333,0.9646002417544466,0.9653333333333334,0.9652406417112299
8,129.53012300026603,61.16293605836108,0.9792333333333333,0.9785372239638956,0.9653333333333334,0.9649241146711636
9,134.03775748424232,36.28404295141809,0.9787333333333333,0.9780090996828898,0.9765,0.9760407816482582
10,96.08349076844752,62.055140346405096,0.9841,0.9835749457663303,0.9671666666666666,0.9667510548523207
11,80.9241986881243,34.20842514699325,0.9861333333333333,0.9856788763426053,0.9748333333333333,0.974428450465707
12,77.5707538764691,41.08073393930681,0.9870333333333333,0.9866005304674313,0.9785,0.9780126129197205
13,64.87500599824125,34.29495653451886,0.9894,0.9890427951209427,0.974,0.9734964322120285
14,55.820901148952544,44.30829105450539,0.9908333333333333,0.9905214903663875,0.9698333333333333,0.9697273791603948
15,49.57311830250546,34.459806045430014,0.992,0.9917349679730009,0.9771666666666666,0.9769321434584947
